freq_Hz,Vmax_V,Vmin_V,phase_deg
500.0,0.018,-0.026,-90.0
750.0,0.034,-0.05,-94.0
1000.0,0.067,-0.064,-106.0
1500.0,0.099,-0.095,-126.0
2000.0,0.102,-0.121,-138.0
3000.0,0.108,-0.307,140.0
4000.0,0.394,-0.154,112.0
5000.0,0.236,-0.537,116.0
6000.0,0.433,-0.62,100.0
7000.0,0.913,-0.459,89.0
8000.0,1.566,-0.135,70.0
9000.0,2.221,0.211,49.0
10000.0,2.776,0.553,23.0
11000.0,2.955,0.672,-2.0
12000.0,2.742,0.521,-10.0
13000.0,2.327,0.285,-25.0
14000.0,1.871,0.036,-41.0
15000.0,1.48,-0.154,-49.0
16000.0,1.161,-0.292,-55.0
17000.0,0.935,-0.376,-62.0
18000.0,0.764,-0.42,-68.0
19000.0,0.632,-0.473,-70.0
20000.0,0.515,-0.485,-84.0
22000.0,0.37,-0.502,-89.0
24000.0,0.246,-0.52,-93.0
26000.0,0.16,-0.523,-101.0
30000.0,0.048,-0.51,-113.0
40000.0,-0.041,-0.435,-169.0
